name|ra|dec|vmag|class|bii|bv_color|lii|radvel
HR 1|00 05 09.89|+45 13 45.1|6.70|STAR A1V|-16.87860|0.07|114.44500|-18
HR 10|00 07 18.19|-17 23 11.0|6.19|STAR A6V|-75.90190|0.14|74.35750|-9
HR 100|00 26 12.19|-43 40 48.0|3.94|STAR A7V|-72.68150|0.17|318.41500|11
HR 1000|03 20 25.61|+25 39 46.1|6.12|STAR|-26.17410|1.24|160.36900|26
HR 1001|03 21 52.61|+49 04 14.9|5.93|STAR F6V|-6.74100|0.43|146.67200|24
HR 1002|03 21 26.50|+43 19 45.8|4.95|STAR A3V|-11.57870|0.04|149.80600|-7
HR 1003|03 19 31.01|-21 45 28.1|3.69|STAR M3III|-55.99550|1.62|212.08900|42
HR 1004|03 19 34.80|-24 07 23.2|5.61|STAR M2III|-56.59080|1.66|216.21500|15
HR 1005|03 21 13.61|+21 08 48.8|5.28|STAR B5IV|-29.63610|-0.07|163.65700|14
HR 1006|03 17 46.20|-62 34 31.1|5.54|STAR G2V|-47.21400|0.64|279.09600|12
HR 1007|03 21 06.79|+03 40 32.2|5.69|STAR G8III|-42.54400|0.97|178.32300|11
HR 1008|03 19 55.70|-43 04 10.9|4.27|STAR G8V|-56.07670|0.71|250.74600|87
HR 1009|03 24 40.51|+64 35 10.0|5.23|STAR M0II|6.43980|2.08|138.46100|-21
HR 101|00 26 37.39|-00 02 58.9|6.19|STAR G8III|-62.27270|0.90|109.50200|-23
HR 1010|03 18 12.89|-62 30 23.0|5.24|STAR G1V|-47.21680|0.60|278.97000|12
HR 1011|03 23 13.20|+49 12 47.9|5.29|STAR B5V|-6.50130|-0.07|146.77800|4
HR 1012|03 22 11.90|+27 36 27.0|5.52|STAR G5III|-24.37940|1.10|159.43200|6
HR 1013|03 20 45.19|-26 36 23.0|6.39|STAR F7V|-56.82100|0.54|220.74600|25
HR 1014|03 17 58.99|-66 55 36.8|6.05|STAR A3V|-44.37800|0.13|283.83300|24
HR 1015|03 22 45.19|+20 44 30.8|5.09|STAR K3III|-29.72910|1.24|164.26900|2
HR 1016|03 21 24.00|-23 38 07.1|5.52|STAR G6II|-56.07180|0.88|215.53600|8
HR 1017|03 24 19.39|+49 51 40.0|1.79|STAR F5I|-5.86240|0.48|146.56900|-2
HR 1018|03 22 16.30|-25 35 16.1|6.35|STAR A0V|-56.30270|0.01|219.03800|25
